# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.28000000e-02
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
2               	3.09968734e-01	6.31788715e+00	-3.13712873e-02	2.94283091e-01	-3.25654378e-01
4               	1.87446931e+00	3.86728609e+01	-1.03567783e-01	1.82268542e+00	-1.92625320e+00
6               	1.40847068e+00	3.07478749e+01	-5.53119732e-02	1.38081469e+00	-1.43612667e+00
8               	1.78947720e+00	3.89140802e+01	2.98572531e-01	1.93876347e+00	-1.64019093e+00
10              	8.78189582e-01	1.69633665e+01	-1.15626812e-02	8.72408241e-01	-8.83970922e-01
12              	2.02423883e+00	4.43717428e+01	2.12461699e-01	2.13046968e+00	-1.91800798e+00
14              	-1.29689649e+00	-1.27512798e+01	-5.47799038e+00	-4.03589168e+00	-1.44209870e+00
16              	1.85111792e+00	5.23375889e+01	2.05824260e+00	2.88023922e+00	-8.21996617e-01
18              	-1.20405445e+00	-1.32257375e+01	-2.88704443e+00	-2.64757666e+00	-2.39467770e-01
20              	1.32685497e+00	5.25874664e+01	2.78319177e+00	2.71845086e+00	6.47409125e-02
22              	5.48247659e-01	8.03059522e+00	-5.25433223e+00	-2.07891846e+00	-3.17541377e+00
24              	-6.89676043e-01	4.70891339e+01	2.00608579e+00	3.13366849e-01	1.69271894e+00
26              	5.50383034e+00	2.43261843e+01	2.42758186e+00	6.71762127e+00	-4.29003941e+00
28              	-4.65019430e-01	4.36406948e+01	1.90357618e+01	9.05286145e+00	9.98290031e+00
30              	8.90100034e+00	1.59447183e+00	-2.64034290e+01	-4.30071417e+00	-2.21027149e+01
32              	-5.59483658e+00	1.90182004e+01	1.53352184e+01	2.07277261e+00	1.32624458e+01
34              	9.22039979e+00	5.20144388e+00	-2.63111837e+01	-3.93519206e+00	-2.23759916e+01
36              	-6.05039432e+00	2.78480909e+01	2.14049450e+01	4.65207821e+00	1.67528668e+01
38              	-5.51118785e+00	-1.34105218e+01	-1.71373899e+01	-1.40798828e+01	-3.05750709e+00
40              	5.36074767e+00	3.87729559e+01	1.05637510e+01	1.06426232e+01	-7.88721684e-02
42              	-2.80088642e+01	-7.67081655e+01	-2.92425868e+01	-4.26301576e+01	1.33875708e+01
44              	1.01571114e+01	7.42573443e+01	2.84855700e+01	2.43998964e+01	4.08567361e+00
46              	1.20542559e+01	-1.19553962e+02	-1.17323862e+02	-4.66076751e+01	-7.07161869e+01
48              	-4.91368268e+01	1.13562614e+02	1.44803102e+02	2.32647241e+01	1.21538378e+02
50              	5.30983921e+01	-2.42670939e+02	-2.81408851e+02	-8.76060336e+01	-1.93802818e+02
52              	-5.60990024e+01	2.80206080e+02	3.31473007e+02	1.09637501e+02	2.21835506e+02
54              	-1.40378257e+01	-1.00063797e+03	-8.83525510e+02	-4.55800581e+02	-4.27724929e+02
56              	3.28093696e+02	9.26894608e+02	2.14110558e+02	4.35148976e+02	-2.21038417e+02
58              	-9.88524040e+02	-4.37748649e+03	-3.09229658e+03	-2.53467233e+03	-5.57624250e+02
60              	1.56931160e+03	5.08894174e+03	2.34191486e+03	2.74026902e+03	-3.98354167e+02
62              	-2.49676595e+03	-9.35314390e+03	-5.81889360e+03	-5.40621275e+03	-4.12680848e+02
